01068,Oakham,MA,USA,Worcester,42.35002,-72.04606
01069,Palmer,MA,USA,Hampden,42.18807,-72.30555
01070,Plainfield,MA,USA,Hampshire,42.51853,-72.92391
01071,Russell,MA,USA,Hampden,42.16035,-72.86
01072,Shutesbury,MA,USA,Franklin,42.45737,-72.41841
01073,Southampton,MA,USA,Hampshire,42.23083,-72.73857
01074,South Barre,MA,USA,Worcester,42.38661,-72.09427
01075,South Hadley,MA,USA,Hampshire,42.25674,-72.57923
01077,Southwick,MA,USA,Hampden,42.05437,-72.77851
01079,Thorndike,MA,USA,Hampden,42.19437,-72.33014
01080,Three Rivers,MA,USA,Hampden,42.18206,-72.36564
01081,Wales,MA,USA,Hampden,42.06234,-72.23094
01082,Ware,MA,USA,Hampshire,42.2948,-72.27776
01083,Warren,MA,USA,Worcester,42.20382,-72.19496
01084,West Chesterfield,MA,USA,Hampshire,42.39038,-72.88089
01085,Westfield,MA,USA,Hampden,42.15371,-72.76958
01086,Westfield,MA,USA,Hampden,42.1304,-72.79397
01088,West Hatfield,MA,USA,Hampshire,42.3901,-72.6478
01089,West Springfield,MA,USA,Hampden,42.12534,-72.65027
01092,West Warren,MA,USA,Worcester,42.19972,-72.23727
01093,Whately,MA,USA,Franklin,42.43439,-72.65304
01094,Wheelwright,MA,USA,Worcester,42.35945,-72.13847
01095,Wilbraham,MA,USA,Hampden,42.12763,-72.42994
01096,Williamsburg,MA,USA,Hampshire,42.4042,-72.76817
01097,Woronoco,MA,USA,Hampden,42.17603,-72.8313
01098,Worthington,MA,USA,Hampshire,42.3946,-72.94242
01103,Springfield,MA,USA,Hampden,42.104,-72.59204
01104,Springfield,MA,USA,Hampden,42.13403,-72.56681
01105,Springfield,MA,USA,Hampden,42.09916,-72.57898
01106,Longmeadow,MA,USA,Hampden,42.04791,-72.57176
01107,Springfield,MA,USA,Hampden,42.12129,-72.6055
01108,Springfield,MA,USA,Hampden,42.08055,-72.55983
01109,Springfield,MA,USA,Hampden,42.11837,-72.54875
01118,Springfield,MA,USA,Hampden,42.09476,-72.52534
01119,Springfield,MA,USA,Hampden,42.12455,-72.51122
01128,Springfield,MA,USA,Hampden,42.09488,-72.48814
01129,Springfield,MA,USA,Hampden,42.12099,-72.48774
01151,Indian Orchard,MA,USA,Hampden,42.15294,-72.50877
01199,Springfield,MA,USA,Hampden,42.12065,-72.6045
01201,Pittsfield,MA,USA,Berkshire,42.44993,-73.27644
01220,Adams,MA,USA,Berkshire,42.62372,-73.11718
01222,Ashley Falls,MA,USA,Berkshire,42.05898,-73.32078
01223,Becket,MA,USA,Berkshire,42.31176,-73.0994
01224,Berkshire,MA,USA,Berkshire,42.50662,-73.19746
01225,Cheshire,MA,USA,Berkshire,42.56267,-73.15484
01226,Dalton,MA,USA,Berkshire,42.48168,-73.13992
01229,Glendale,MA,USA,Berkshire,42.27799,-73.33204
01230,Great Barrington,MA,USA,Berkshire,42.18476,-73.34368
01235,Hinsdale,MA,USA,Berkshire,42.42975,-73.07241
01236,Housatonic,MA,USA,Berkshire,42.26658,-73.3767
01237,Lanesborough,MA,USA,Berkshire,42.54971,-73.26265
01238,Lee,MA,USA,Berkshire,42.29522,-73.22879
01240,Lenox,MA,USA,Berkshire,42.37208,-73.27646
01242,Lenox Dale,MA,USA,Berkshire,42.33328,-73.24921
01243,Middlefield,MA,USA,Hampshire,42.35146,-73.02322
01244,Mill River,MA,USA,Berkshire,42.11608,-73.26271
01245,Monterey,MA,USA,Berkshire,42.18818,-73.21891
01247,North Adams,MA,USA,Berkshire,42.69546,-73.07996
01253,Otis,MA,USA,Berkshire,42.21187,-73.11616
01254,Richmond,MA,USA,Berkshire,42.37982,-73.36545
01255,Sandisfield,MA,USA,Berkshire,42.10834,-73.1229
01256,Savoy,MA,USA,Berkshire,42.59627,-73.01957
01257,Sheffield,MA,USA,Berkshire,42.09701,-73.36886
01258,South Egremont,MA,USA,Berkshire,42.10257,-73.46175
01259,Southfield,MA,USA,Berkshire,42.07553,-73.23564
01260,South Lee,MA,USA,Berkshire,42.29587,-73.34517
01262,Stockbridge,MA,USA,Berkshire,42.29354,-73.31771
01264,Tyringham,MA,USA,Berkshire,42.23409,-73.19903
01266,West Stockbridge,MA,USA,Berkshire,42.30802,-73.38405
01267,Williamstown,MA,USA,Berkshire,42.67197,-73.23904
01270,Windsor,MA,USA,Berkshire,42.51492,-73.04125
01301,Greenfield,MA,USA,Franklin,42.62406,-72.60401
01330,Ashfield,MA,USA,Franklin,42.51377,-72.81395
01331,Athol,MA,USA,Worcester,42.56728,-72.18293
01337,Bernardston,MA,USA,Franklin,42.69503,-72.57711
01338,Buckland,MA,USA,Franklin,42.57358,-72.82134
01339,Charlemont,MA,USA,Franklin,42.60801,-72.89006
01340,Colrain,MA,USA,Franklin,42.68319,-72.71797
01341,Conway,MA,USA,Franklin,42.50447,-72.70514
01342,Deerfield,MA,USA,Franklin,42.54451,-72.60591
01343,Drury,MA,USA,Berkshire,42.65444,-72.9811
01344,Erving,MA,USA,Franklin,42.60777,-72.42882
01346,Heath,MA,USA,Franklin,42.68892,-72.817
01347,Lake Pleasant,MA,USA,Franklin,42.56137,-72.51694
01349,Millers Falls,MA,USA,Franklin,42.57271,-72.48329
01350,Monroe Bridge,MA,USA,Franklin,42.72265,-72.98244
